idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
49,1,20260101011631,304,304,1,1,1
50,1,20260101011631,0,0,-1,-1,-1
51,1,20260101011631,0,0,-1,-1,-1
52,1,20260101011631,299,299,1,1,1
53,1,20260101011631,155,153,1,1,1
54,1,20260101011631,165,164,1,1,1
55,1,20260101011631,0,0,-1,-1,-1
56,1,20260101011631,0,0,-1,-1,-1
57,1,20260101011631,0,0,-1,-1,-1
58,1,20260101011631,0,0,-1,-1,-1
59,1,20260101011631,164,164,1,1,1
60,1,20260101011631,416,416,1,1,1
61,1,20260101011631,285,286,1,1,1
62,0,20260101011631,0,0,-1,-1,-1
63,0,20260101011631,0,0,-1,-1,-1
64,0,20260101011631,0,0,-1,-1,-1
65,1,20260101011631,135,136,1,1,1
66,1,20260101011631,103,104,1,1,1
67,1,20260101011631,230,215,1,1,1
68,1,20260101011631,116,116,1,1,1
69,1,20260101011631,118,127,1,1,1
70,1,20260101011631,124,127,1,1,1
71,0,20260101011631,98,99,1,1,1
72,0,20260101011631,173,173,1,1,1
73,0,20260101011631,115,111,1,1,1
74,0,20260101011631,92,92,1,1,1
75,0,20260101011631,233,234,1,1,1
76,0,20260101011631,80,85,1,1,1
77,1,20260101011631,431,431,1,1,1
78,1,20260101011631,0,0,-1,-1,-1
1,1,20260101012554,305,304,1,1,1
2,1,20260101012554,0,0,-1,-1,-1
3,1,20260101012554,306,305,1,1,1
4,1,20260101012554,327,327,1,1,1
5,1,20260101012554,0,0,-1,-1,-1
6,1,20260101012554,282,284,1,1,1
7,1,20260101012554,188,188,1,1,1
8,0,20260101012554,0,0,-1,-1,-1
9,0,20260101012554,0,0,-1,-1,-1
10,1,20260101012554,171,171,1,1,1
11,1,20260101012554,0,0,-1,-1,-1
12,1,20260101012554,101,101,1,1,1
13,1,20260101012554,231,231,1,1,1
14,0,20260101012554,0,0,-1,-1,-1
15,1,20260101012554,220,220,1,1,1
16,1,20260101012554,237,237,1,1,1
17,1,20260101012554,192,192,1,1,1
18,1,20260101012554,0,0,-1,-1,-1
19,0,20260101012554,0,0,-1,-1,-1
20,0,20260101012554,0,0,-1,-1,-1
21,1,20260101012554,0,0,-1,-1,-1
22,1,20260101012554,270,270,1,1,1
23,1,20260101012554,189,189,1,1,1
24,1,20260101012554,240,240,1,1,1
25,1,20260101012554,0,0,-1,-1,-1
26,1,20260101012554,260,261,1,1,1
27,1,20260101012554,186,185,1,1,1
28,1,20260101012554,0,0,-1,-1,-1
29,1,20260101012554,0,0,-1,-1,-1
30,1,20260101012554,0,0,-1,-1,-1
31,1,20260101012554,219,219,1,1,1
32,1,20260101012554,179,180,1,1,1
33,1,20260101012554,0,0,-1,-1,-1
34,1,20260101012554,220,220,1,1,1
35,1,20260101012554,151,152,1,1,1
36,1,20260101012554,0,0,-1,-1,-1
37,1,20260101012554,205,205,1,1,1
38,1,20260101012554,205,204,1,1,1
39,1,20260101012554,0,0,-1,-1,-1
40,1,20260101012554,289,289,1,1,1
41,0,20260101012554,0,0,-1,-1,-1
42,1,20260101012554,221,224,1,1,1
43,0,20260101012554,0,0,-1,-1,-1
44,0,20260101012554,0,0,-1,-1,-1
45,0,20260101012554,0,0,-1,-1,-1
46,0,20260101012554,0,0,-1,-1,-1
47,1,20260101012554,181,181,1,1,1
48,0,20260101012554,0,0,-1,-1,-1
49,1,20260101012554,304,304,1,1,1
50,1,20260101012554,0,0,-1,-1,-1
51,1,20260101012554,0,0,-1,-1,-1
52,1,20260101012554,299,299,1,1,1
53,1,20260101012554,152,153,1,1,1
54,1,20260101012554,164,164,1,1,1
55,1,20260101012554,0,0,-1,-1,-1
56,1,20260101012554,0,0,-1,-1,-1
57,1,20260101012554,0,0,-1,-1,-1
58,1,20260101012554,0,0,-1,-1,-1
59,1,20260101012554,164,164,1,1,1
60,1,20260101012554,414,415,1,1,1
61,1,20260101012554,286,285,1,1,1
62,0,20260101012554,0,0,-1,-1,-1
63,0,20260101012554,0,0,-1,-1,-1
64,0,20260101012554,0,0,-1,-1,-1
65,1,20260101012554,135,138,1,1,1
66,1,20260101012554,103,104,1,1,1
67,1,20260101012554,230,216,1,1,1
68,1,20260101012554,116,112,1,1,1
69,1,20260101012554,118,123,1,1,1
70,1,20260101012554,124,137,1,1,1
71,0,20260101012554,98,98,1,1,1
72,0,20260101012554,173,171,1,1,1
73,0,20260101012554,115,114,1,1,1
74,0,20260101012554,92,94,1,1,1
75,0,20260101012554,233,232,1,1,1
76,0,20260101012554,80,85,1,1,1
77,1,20260101012554,431,431,1,1,1
78,1,20260101012554,0,0,-1,-1,-1
1,1,20260101013637,305,305,1,1,1
2,1,20260101013637,0,0,-1,-1,-1
3,1,20260101013637,306,306,1,1,1
4,1,20260101013637,327,326,1,1,1
5,1,20260101013637,0,0,-1,-1,-1
6,1,20260101013637,281,282,1,1,1
7,1,20260101013637,188,188,1,1,1
8,0,20260101013637,0,0,-1,-1,-1
9,0,20260101013637,0,0,-1,-1,-1
10,1,20260101013637,171,171,1,1,1
11,1,20260101013637,0,0,-1,-1,-1
12,1,20260101013637,101,101,1,1,1
13,1,20260101013637,231,231,1,1,1
14,0,20260101013637,0,0,-1,-1,-1
15,1,20260101013637,220,220,1,1,1
16,1,20260101013637,238,237,1,1,1
17,1,20260101013637,193,192,1,1,1
18,1,20260101013637,0,0,-1,-1,-1
19,0,20260101013637,0,0,-1,-1,-1
20,0,20260101013637,0,0,-1,-1,-1
21,1,20260101013637,0,0,-1,-1,-1
22,1,20260101013637,270,270,1,1,1
23,1,20260101013637,189,189,1,1,1
24,1,20260101013637,240,240,1,1,1
25,1,20260101013637,0,0,-1,-1,-1
26,1,20260101013637,260,261,1,1,1
27,1,20260101013637,186,186,1,1,1
28,1,20260101013637,0,0,-1,-1,-1
29,1,20260101013637,0,0,-1,-1,-1
30,1,20260101013637,0,0,-1,-1,-1
31,1,20260101013637,221,220,1,1,1
32,1,20260101013637,0,0,-1,-1,-1
33,1,20260101013637,0,0,-1,-1,-1
34,1,20260101013637,220,220,1,1,1
35,1,20260101013637,152,152,1,1,1
36,1,20260101013637,0,0,-1,-1,-1
37,1,20260101013637,206,205,1,1,1
38,1,20260101013637,205,205,1,1,1
39,1,20260101013637,0,0,-1,-1,-1
40,1,20260101013637,289,289,1,1,1
41,0,20260101013637,0,0,-1,-1,-1
42,1,20260101013637,226,223,1,1,1
43,0,20260101013637,0,0,-1,-1,-1
44,0,20260101013637,0,0,-1,-1,-1
45,0,20260101013637,0,0,-1,-1,-1
46,0,20260101013637,0,0,-1,-1,-1
47,1,20260101013637,181,181,1,1,1
48,0,20260101013637,0,0,-1,-1,-1
49,1,20260101013637,304,304,1,1,1
50,1,20260101013637,0,0,-1,-1,-1
51,1,20260101013637,0,0,-1,-1,-1
52,1,20260101013637,299,299,1,1,1
53,1,20260101013637,149,150,1,1,1
54,1,20260101013637,164,164,1,1,1
55,1,20260101013637,0,0,-1,-1,-1
56,1,20260101013637,0,0,-1,-1,-1
57,1,20260101013637,0,0,-1,-1,-1
58,1,20260101013637,0,0,-1,-1,-1
59,1,20260101013637,164,164,1,1,1
60,1,20260101013637,417,415,1,1,1
61,1,20260101013637,286,285,1,1,1
62,0,20260101013637,0,0,-1,-1,-1
63,0,20260101013637,0,0,-1,-1,-1
64,0,20260101013637,0,0,-1,-1,-1
65,1,20260101013637,135,131,1,1,1
66,1,20260101013637,103,103,1,1,1
67,1,20260101013637,230,226,1,1,1
68,1,20260101013637,116,113,1,1,1
69,1,20260101013637,118,123,1,1,1
70,1,20260101013637,124,127,1,1,1
71,0,20260101013637,98,95,1,1,1
72,0,20260101013637,173,170,1,1,1
73,0,20260101013637,115,113,1,1,1
74,0,20260101013637,92,96,1,1,1
75,0,20260101013637,233,233,1,1,1
76,0,20260101013637,80,85,1,1,1
77,1,20260101013637,435,432,1,1,1
78,1,20260101013637,0,0,-1,-1,-1
1,1,20260101014553,303,304,1,1,1
2,1,20260101014553,0,0,-1,-1,-1
3,1,20260101014553,306,306,1,1,1
4,1,20260101014553,326,326,1,1,1
5,1,20260101014553,0,0,-1,-1,-1
6,1,20260101014553,275,277,1,1,1
7,1,20260101014553,189,187,1,1,1
8,0,20260101014553,0,0,-1,-1,-1
9,0,20260101014553,0,0,-1,-1,-1
10,1,20260101014553,171,171,1,1,1
11,1,20260101014553,0,0,-1,-1,-1
12,1,20260101014553,100,100,1,1,1
13,1,20260101014553,231,231,1,1,1
14,0,20260101014553,0,0,-1,-1,-1
